epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4517.85,1.61911,3.72606,0.00728,0.37423,0.34036,0.32593,0.21638,1.07034,1.91448,0.00619,0.00998845,0.00332948,0.00998845,0.00332948,0.00998845,0.00332948,0.00998845,0.00332948
2,8722.42,1.5072,1.93741,0.00653,0.42171,0.42262,0.39971,0.28549,1.04577,1.83507,0.0066,0.0197906,0.00659686,0.0197906,0.00659686,0.0197906,0.00659686,0.0197906,0.00659686
3,11946,1.50968,1.93826,0.00671,0.39538,0.47397,0.40516,0.26675,1.14844,1.69539,0.00772,0.0293947,0.00979823,0.0293947,0.00979823,0.0293947,0.00979823,0.0293947,0.00979823
4,15527.4,1.53249,1.96678,0.00721,0.45505,0.49445,0.46991,0.30684,1.16337,1.48338,0.00795,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,18086.4,1.49398,1.86516,0.00694,0.47981,0.44356,0.45601,0.31599,1.12005,1.49617,0.0075,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,21577.7,1.48683,1.77775,0.00699,0.53891,0.56136,0.53432,0.35541,1.15316,1.38458,0.00727,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,24482.6,1.44743,1.73184,0.00676,0.5852,0.47413,0.50267,0.33807,1.13369,1.44025,0.00748,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,28155,1.44083,1.6621,0.00654,0.53055,0.57514,0.58527,0.39532,1.05932,1.21286,0.00692,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,31506.1,1.40176,1.57418,0.00643,0.5657,0.56133,0.55095,0.36841,1.12767,1.25351,0.00725,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,35069.5,1.3822,1.578,0.00635,0.5835,0.6084,0.59827,0.42259,1.00508,1.17157,0.00605,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,38010.9,1.37331,1.53772,0.00633,0.55539,0.58627,0.60344,0.44162,0.982,1.08991,0.00646,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,41293.5,1.35413,1.52917,0.00626,0.61049,0.52094,0.58215,0.41192,1.04327,1.21844,0.00642,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,45220,1.34529,1.4471,0.006,0.58538,0.64938,0.62127,0.44944,0.984,1.07902,0.00628,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,48561.9,1.33861,1.42435,0.00601,0.63349,0.63406,0.63978,0.46943,0.93216,1.05699,0.00561,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,51884.8,1.33064,1.43378,0.00586,0.59476,0.68221,0.65687,0.47684,0.95915,1.06071,0.00606,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,55938,1.30681,1.40767,0.00574,0.62097,0.62313,0.64271,0.46851,0.94826,1.03667,0.00584,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,59533.6,1.30438,1.36627,0.00574,0.58012,0.56544,0.58946,0.42969,0.94469,1.12338,0.00556,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,63371.5,1.28778,1.34453,0.00561,0.67099,0.65359,0.68781,0.51192,0.90423,0.9442,0.00546,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,66306.8,1.28391,1.31453,0.00568,0.69033,0.61751,0.66542,0.50293,0.92787,0.99039,0.00584,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,69968.7,1.27262,1.28844,0.0056,0.66991,0.64342,0.67016,0.48836,0.92814,0.97203,0.00597,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
